LoyaltyCardID,Region,FirstName,MiddleName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Phone,DateFirstPurchase,CommuteDistance
11000,Australia,Jon,V,Yang,1971-10-06,M,M,jon24@adventure-works.com,90000.00,2,0,Bachelors,Professional,1,0,3761 N. 14th St,NULL,1 (11) 500 555-0162,2011-01-19,1-2 Miles
11001,Australia,Eugene,L,Huang,1976-05-10,S,M,eugene10@adventure-works.com,60000.00,3,3,Bachelors,Professional,0,1,2243 W St.,NULL,1 (11) 500 555-0110,2011-01-15,0-1 Miles
11002,Australia,Ruben,NULL,Torres,1971-02-09,M,M,ruben35@adventure-works.com,60000.00,3,3,Bachelors,Professional,1,1,5844 Linden Land,NULL,1 (11) 500 555-0184,2011-01-07,2-5 Miles
11003,Australia,Christy,NULL,Zhu,1973-08-14,S,F,christy12@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,1825 Village Pl.,NULL,1 (11) 500 555-0162,2010-12-29,5-10 Miles
11004,Australia,Elizabeth,NULL,Johnson,1979-08-05,S,F,elizabeth5@adventure-works.com,80000.00,5,5,Bachelors,Professional,1,4,7553 Harness Circle,NULL,1 (11) 500 555-0131,2011-01-23,1-2 Miles
11005,Australia,Julio,NULL,Ruiz,1976-08-01,S,M,julio1@adventure-works.com,70000.00,0,0,Bachelors,Professional,1,1,7305 Humphrey Drive,NULL,1 (11) 500 555-0151,2010-12-30,5-10 Miles
11006,Australia,Janet,G,Alvarez,1976-12-02,S,F,janet9@adventure-works.com,70000.00,0,0,Bachelors,Professional,1,1,2612 Berry Dr,NULL,1 (11) 500 555-0184,2011-01-24,5-10 Miles
11007,Australia,Marco,NULL,Mehta,1969-11-06,M,M,marco14@adventure-works.com,60000.00,3,3,Bachelors,Professional,1,2,942 Brook Street,NULL,1 (11) 500 555-0126,2011-01-09,0-1 Miles
11008,Australia,Rob,NULL,Verhoff,1975-07-04,S,F,rob4@adventure-works.com,60000.00,4,4,Bachelors,Professional,1,3,624 Peabody Road,NULL,1 (11) 500 555-0164,2011-01-25,10+ Miles
11009,Australia,Shannon,C,Carlson,1969-09-29,S,M,shannon38@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,3839 Northgate Road,NULL,1 (11) 500 555-0110,2011-01-27,5-10 Miles
11010,Australia,Jacquelyn,C,Suarez,1969-08-05,S,F,jacquelyn20@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,7800 Corrinne Court,NULL,1 (11) 500 555-0169,2011-01-14,5-10 Miles
11011,Australia,Curtis,NULL,Lu,1969-05-03,M,M,curtis9@adventure-works.com,60000.00,4,4,Bachelors,Professional,1,4,1224 Shoenic,NULL,1 (11) 500 555-0117,2010-12-30,10+ Miles
11012,United States,Lauren,M,Walker,1979-01-14,M,F,lauren41@adventure-works.com,100000.00,2,0,Bachelors,Management,1,2,4785 Scott Street,NULL,717-555-0164,2013-03-16,1-2 Miles
11013,United States,Ian,M,Jenkins,1979-08-03,M,M,ian47@adventure-works.com,100000.00,2,0,Bachelors,Management,1,3,7902 Hudson Ave.,NULL,817-555-0185,2013-04-13,0-1 Miles
11014,United States,Sydney,NULL,Bennett,1973-11-06,S,F,sydney23@adventure-works.com,100000.00,3,0,Bachelors,Management,0,3,9011 Tank Drive,NULL,431-555-0156,2013-03-23,1-2 Miles
11015,United States,Chloe,NULL,Young,1984-08-26,S,F,chloe23@adventure-works.com,30000.00,0,0,Partial College,Skilled Manual,0,1,244 Willow Pass Road,NULL,208-555-0142,2013-01-18,5-10 Miles
11016,United States,Wyatt,L,Hill,1984-10-25,M,M,wyatt32@adventure-works.com,30000.00,0,0,Partial College,Skilled Manual,1,1,9666 Northridge Ct.,NULL,135-555-0171,2013-02-09,5-10 Miles
11017,Australia,Shannon,NULL,Wang,1949-12-24,S,F,shannon1@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,7330 Saddlehill Lane,NULL,1 (11) 500 555-0195,2011-01-12,5-10 Miles
11018,Australia,Clarence,D,Rai,1955-10-06,S,M,clarence32@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,244 Rivewview,NULL,1 (11) 500 555-0137,2011-01-17,5-10 Miles
11019,Canada,Luke,L,Lal,1983-09-04,S,M,luke18@adventure-works.com,40000.00,0,0,High School,Skilled Manual,0,2,7832 Landing Dr,NULL,262-555-0112,2013-02-12,5-10 Miles
11020,Canada,Jordan,C,King,1984-03-19,S,M,jordan73@adventure-works.com,40000.00,0,0,High School,Skilled Manual,0,2,7156 Rose Dr.,NULL,550-555-0163,2012-12-29,1-2 Miles
11021,United States,Destiny,NULL,Wilson,1984-03-02,S,F,destiny7@adventure-works.com,40000.00,0,0,Partial College,Skilled Manual,0,1,8148 W. Lake Dr.,NULL,622-555-0158,2013-01-23,1-2 Miles
11022,United States,Ethan,G,Zhang,1984-04-10,M,M,ethan20@adventure-works.com,40000.00,0,0,Partial College,Skilled Manual,1,1,1769 Nicholas Drive,NULL,589-555-0185,2013-01-20,5-10 Miles
11023,United States,Seth,M,Edwards,1984-04-09,M,M,seth46@adventure-works.com,40000.00,0,0,Partial College,Skilled Manual,1,1,4499 Valley Crest,NULL,452-555-0188,2013-02-17,1-2 Miles
11024,United States,Russell,NULL,Xie,1984-03-16,M,M,russell7@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,8734 Oxford Place,NULL,746-555-0186,2013-06-27,5-10 Miles
11025,Australia,Alejandro,NULL,Beck,1951-06-22,M,M,alejandro45@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,2596 Franklin Canyon Road,NULL,1 (11) 500 555-0178,2011-01-06,1-2 Miles
11026,Australia,Harold,NULL,Sai,1951-10-01,S,M,harold3@adventure-works.com,30000.00,2,0,Partial College,Clerical,0,2,8211 Leeds Ct.,NULL,1 (11) 500 555-0131,2011-01-23,1-2 Miles
11027,Australia,Jessie,R,Zhao,1952-06-05,M,M,jessie16@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,213 Valencia Place,NULL,1 (11) 500 555-0184,2011-01-16,5-10 Miles
11028,Australia,Jill,NULL,Jimenez,1951-10-09,M,F,jill13@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,9111 Rose Ann Ave,NULL,1 (11) 500 555-0116,2011-01-26,1-2 Miles
11029,Australia,Jimmy,L,Moreno,1952-06-19,M,M,jimmy9@adventure-works.com,30000.00,2,0,Partial College,Clerical,1,2,6385 Mark Twain,NULL,1 (11) 500 555-0146,2011-01-19,1-2 Miles
11030,Australia,Bethany,G,Yuan,1958-02-18,M,F,bethany10@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,636 Vine Hill Way,NULL,1 (11) 500 555-0182,2011-02-05,1-2 Miles
11031,Australia,Theresa,G,Ramos,1953-02-18,M,F,theresa13@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,6465 Detroit Ave.,NULL,1 (11) 500 555-0195,2011-02-01,1-2 Miles
11032,Australia,Denise,NULL,Stone,1952-12-08,M,F,denise10@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,626 Bentley Street,NULL,1 (11) 500 555-0169,2011-02-18,1-2 Miles
11033,Australia,Jaime,NULL,Nath,1958-09-19,M,M,jaime41@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,5927 Rainbow Dr,NULL,1 (11) 500 555-0137,2011-02-15,5-10 Miles
11034,Australia,Ebony,NULL,Gonzalez,1952-12-16,M,F,ebony19@adventure-works.com,20000.00,4,0,High School,Skilled Manual,1,2,5167 Condor Place,NULL,1 (11) 500 555-0136,2011-02-01,5-10 Miles
11035,Australia,Wendy,NULL,Dominguez,1953-08-23,M,F,wendy12@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,1873 Mt. Whitney Dr,NULL,1 (11) 500 555-0177,2011-02-06,1-2 Miles
11036,United States,Jennifer,C,Russell,1984-06-16,M,F,jennifer93@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,3981 Augustine Drive,NULL,115-555-0183,2013-01-22,1-2 Miles
11037,Canada,Chloe,M,Garcia,1983-05-27,S,F,chloe27@adventure-works.com,40000.00,0,0,Partial High School,Clerical,0,2,8915 Woodside Way,NULL,229-555-0112,2013-01-20,5-10 Miles
11038,Australia,Diana,F,Hernandez,1953-09-20,M,F,diana2@adventure-works.com,10000.00,2,1,Partial High School,Clerical,1,2,8357 Sandy Cove Lane,NULL,1 (11) 500 555-0114,2011-02-07,5-10 Miles
11039,Australia,Marc,J,Martin,1954-06-16,M,M,marc3@adventure-works.com,30000.00,3,0,Partial College,Clerical,1,2,9353 Creekside Dr.,NULL,1 (11) 500 555-0183,2011-02-07,5-10 Miles
11040,United States,Jesse,NULL,Murphy,1983-01-29,M,M,jesse15@adventure-works.com,30000.00,0,0,Partial College,Skilled Manual,1,2,3350 Kingswood Circle,NULL,961-555-0176,2013-04-03,1-2 Miles
11041,United States,Amanda,M,Carter,1983-04-15,M,F,amanda53@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,5826 Escobar,NULL,295-555-0145,2013-01-14,1-2 Miles
11042,United States,Megan,J,Sanchez,1982-12-11,M,F,megan28@adventure-works.com,70000.00,0,0,Partial College,Skilled Manual,1,2,1397 Paraiso Ct.,NULL,404-555-0199,2013-01-21,0-1 Miles
11043,United States,Nathan,M,Simmons,1981-08-23,M,M,nathan11@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,1,2,1170 Shaw Rd,NULL,296-555-0181,2013-05-08,5-10 Miles
11044,Australia,Adam,L,Flores,1954-11-21,M,M,adam10@adventure-works.com,20000.00,2,1,Partial High School,Clerical,1,2,6935 Candle Dr,NULL,1 (11) 500 555-0163,2011-02-28,1-2 Miles
11045,Australia,Leonard,G,Nara,1955-11-16,S,M,leonard18@adventure-works.com,30000.00,3,0,High School,Skilled Manual,0,2,7466 La Vista Ave.,NULL,1 (11) 500 555-0151,2013-04-10,1-2 Miles
11046,Australia,Christine,NULL,Yuan,1955-09-19,M,F,christine4@adventure-works.com,30000.00,3,0,High School,Skilled Manual,1,2,2356 Orange St,NULL,1 (11) 500 555-0113,2011-02-06,5-10 Miles
11047,Australia,Jaclyn,D,Lu,1955-08-27,M,F,jaclyn12@adventure-works.com,30000.00,3,0,High School,Skilled Manual,0,2,2812 Mazatlan,NULL,1 (11) 500 555-0137,2011-02-03,1-2 Miles
11048,Australia,Jeremy,NULL,Powell,1956-05-21,M,M,jeremy26@adventure-works.com,30000.00,3,0,High School,Skilled Manual,1,2,1803 Potomac Dr.,NULL,1 (11) 500 555-0183,2011-02-10,5-10 Miles
11049,United States,Carol,C,Rai,1986-01-15,S,F,carol8@adventure-works.com,40000.00,0,0,Partial High School,Clerical,1,2,6064 Madrid,NULL,654-555-0180,2013-03-09,5-10 Miles
11050,Australia,Alan,NULL,Zheng,1957-03-06,M,M,alan23@adventure-works.com,30000.00,3,0,High School,Skilled Manual,1,2,2741 Gainborough Dr.,NULL,1 (11) 500 555-0135,2011-02-20,5-10 Miles
11051,Australia,Daniel,NULL,Johnson,1957-01-31,S,M,daniel18@adventure-works.com,30000.00,3,0,High School,Skilled Manual,0,2,8085 Sunnyvale Avenue,NULL,1 (11) 500 555-0155,2013-12-29,1-2 Miles
11052,Australia,Heidi,NULL,Lopez,1957-02-03,S,F,heidi19@adventure-works.com,40000.00,2,0,Partial College,Clerical,0,2,2514 Via Cordona,NULL,1 (11) 500 555-0168,2011-02-17,5-10 Miles
11053,United States,Ana,E,Price,1986-02-17,M,F,ana0@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,0,2,1660 Stonyhill Circle,NULL,859-555-0113,2013-01-17,1-2 Miles
11054,Australia,Deanna,NULL,Munoz,1957-09-07,M,F,deanna33@adventure-works.com,40000.00,2,0,Partial College,Skilled Manual,1,2,5825 B Way,NULL,1 (11) 500 555-0192,2011-02-03,5-10 Miles
11055,Australia,Gilbert,NULL,Raje,1957-09-02,M,M,gilbert35@adventure-works.com,40000.00,2,0,Partial College,Skilled Manual,1,2,8811 The Trees Dr.,NULL,1 (11) 500 555-0129,2011-01-31,5-10 Miles
11056,Australia,Michele,L,Nath,1958-10-01,M,F,michele19@adventure-works.com,40000.00,3,0,Partial College,Skilled Manual,1,2,5464 Janin Pl.,NULL,1 (11) 500 555-0178,2011-02-26,5-10 Miles
11057,Australia,Carl,J,Andersen,1970-04-07,M,M,carl12@adventure-works.com,70000.00,2,0,Graduate Degree,Management,1,2,6930 Lake Nadine Place,NULL,1 (11) 500 555-0181,2011-02-22,1-2 Miles
11058,Australia,Marc,NULL,Diaz,1965-04-23,M,M,marc6@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,6645 Sinaloa,NULL,1 (11) 500 555-0149,2011-03-09,1-2 Miles
11059,Australia,Ashlee,J,Andersen,1959-09-29,S,F,ashlee19@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,8255 Highland Road,NULL,1 (11) 500 555-0112,2013-02-18,5-10 Miles
11060,Australia,Jon,L,Zhou,1959-09-14,M,M,jon28@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,6574 Hemlock Ave.,NULL,1 (11) 500 555-0174,2011-03-19,5-10 Miles
11061,Australia,Todd,M,Gao,1976-02-20,M,M,todd14@adventure-works.com,80000.00,2,0,Partial College,Skilled Manual,1,2,8808 Geneva Ave,NULL,1 (11) 500 555-0191,2011-03-13,5-10 Miles
11062,United States,Noah,D,Powell,1981-03-01,M,M,noah5@adventure-works.com,40000.00,0,0,High School,Skilled Manual,1,2,9794 Marion Ct,NULL,767-555-0113,2013-01-07,5-10 Miles
11063,United States,Angela,NULL,Murphy,1980-10-04,S,F,angela41@adventure-works.com,40000.00,0,0,High School,Skilled Manual,1,2,4927 Virgil Street,# 21,451-555-0162,2013-01-12,5-10 Miles
11064,United States,Chase,NULL,Reed,1981-06-05,M,M,chase21@adventure-works.com,40000.00,0,0,High School,Skilled Manual,1,2,2721 Alexander Pl.,NULL,892-555-0184,2013-01-25,5-10 Miles
11065,United States,Jessica,NULL,Henderson,1979-04-08,M,F,jessica29@adventure-works.com,60000.00,0,0,Partial College,Skilled Manual,0,2,9343 Ironwood Way,NULL,278-555-0186,2013-02-10,1-2 Miles
11066,United States,Grace,T,Butler,1979-05-27,M,F,grace62@adventure-works.com,70000.00,0,0,Partial College,Professional,1,2,4739 Garden Ave.,NULL,712-555-0141,2013-05-31,5-10 Miles
11067,United States,Caleb,F,Carter,1982-03-25,S,M,caleb40@adventure-works.com,60000.00,0,0,Partial College,Professional,1,2,9563 Pennsylvania Blvd.,NULL,944-555-0167,2013-08-18,5-10 Miles
11068,Australia,Tiffany,NULL,Liang,1966-09-19,S,F,tiffany17@adventure-works.com,80000.00,2,0,High School,Skilled Manual,1,2,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177,2013-04-30,5-10 Miles
11069,Australia,Carolyn,NULL,Navarro,1966-09-17,S,F,carolyn30@adventure-works.com,80000.00,2,0,High School,Skilled Manual,0,2,4606 Springwood Court,NULL,1 (11) 500 555-0145,2011-04-17,1-2 Miles
11070,Australia,Willie,T,Raji,1960-10-02,M,M,willie40@adventure-works.com,80000.00,2,0,High School,Skilled Manual,1,2,6260 Vernal Drive,NULL,1 (11) 500 555-0151,2011-04-28,5-10 Miles
11071,Australia,Linda,NULL,Serrano,1960-12-23,S,F,linda31@adventure-works.com,80000.00,2,0,High School,Skilled Manual,1,2,9808 Shaw Rd.,NULL,1 (11) 500 555-0130,2013-03-01,5-10 Miles
11072,Australia,Casey,NULL,Luo,1960-08-05,S,F,casey6@adventure-works.com,80000.00,2,0,High School,Skilled Manual,0,2,9513 Roslyn Drive,NULL,1 (11) 500 555-0125,2011-03-31,1-2 Miles
11073,Australia,Amy,NULL,Ye,1962-02-11,S,F,amy16@adventure-works.com,70000.00,2,0,High School,Skilled Manual,1,2,2262 Kirkwood Ct.,NULL,1 (11) 500 555-0185,2013-03-23,5-10 Miles
11074,Australia,Levi,A,Arun,1962-02-25,S,M,levi6@adventure-works.com,70000.00,2,0,High School,Skilled Manual,1,2,4661 Bluetail,NULL,1 (11) 500 555-0127,2013-03-23,5-10 Miles
11075,Australia,Felicia,L,Jimenez,1963-05-16,S,F,felicia4@adventure-works.com,80000.00,2,0,High School,Professional,1,2,786 Eastgate Ave,NULL,1 (11) 500 555-0165,2011-04-28,5-10 Miles
11076,Australia,Blake,NULL,Anderson,1963-01-10,S,M,blake9@adventure-works.com,80000.00,2,0,High School,Professional,1,2,5436 Clear,# 101,1 (11) 500 555-0113,2011-04-21,5-10 Miles
11077,Australia,Leah,NULL,Ye,1963-03-19,S,F,leah7@adventure-works.com,80000.00,2,0,High School,Professional,0,2,1291 Arguello Blvd.,NULL,1 (11) 500 555-0154,2011-04-15,1-2 Miles
11078,Canada,Gina,E,Martin,1985-01-06,S,F,gina1@adventure-works.com,40000.00,0,0,High School,Professional,0,2,1349 Sol St.,NULL,196-555-0114,2013-02-15,1-2 Miles
11079,Australia,Donald,NULL,Gonzalez,1970-03-07,S,M,donald20@adventure-works.com,160000.00,0,0,Graduate Degree,Management,1,2,4236 Malibu Place,NULL,1 (11) 500 555-0137,2013-03-15,0-1 Miles
11080,Australia,Damien,NULL,Chander,1965-01-13,M,M,damien32@adventure-works.com,170000.00,0,0,Graduate Degree,Management,1,2,9941 Stonehedge Dr.,NULL,1 (11) 500 555-0111,2011-04-10,0-1 Miles
11081,United States,Savannah,C,Baker,1972-01-21,M,F,savannah39@adventure-works.com,120000.00,2,2,Bachelors,Management,1,3,1210 Trafalgar Circle,NULL,478-555-0117,2013-02-12,2-5 Miles
11082,United States,Angela,L,Butler,1972-02-01,S,F,angela17@adventure-works.com,130000.00,0,1,Graduate Degree,Management,0,3,6040 Listing Ct,NULL,579-555-0195,2013-01-22,1-2 Miles
11083,United States,Alyssa,F,Cox,1977-03-11,M,F,alyssa37@adventure-works.com,130000.00,0,1,Graduate Degree,Management,1,3,867 La Orinda Place,NULL,561-555-0140,2013-01-06,1-2 Miles
11084,United States,Lucas,NULL,Phillips,1963-03-12,S,M,lucas7@adventure-works.com,80000.00,2,0,Partial High School,Skilled Manual,0,2,8668 St. Celestine Court,NULL,863-555-0172,2013-01-04,1-2 Miles
11085,United States,Emily,NULL,Johnson,1963-01-16,S,F,emily1@adventure-works.com,60000.00,2,0,High School,Professional,0,2,7926 Stephanie Way,NULL,850-555-0184,2013-12-06,5-10 Miles
11086,United States,Ryan,NULL,Brown,1963-06-22,M,M,ryan43@adventure-works.com,70000.00,2,1,Partial College,Professional,1,0,2939 Wesley Ct.,NULL,539-555-0198,2013-07-02,0-1 Miles
11087,United States,Tamara,L,Liang,1963-04-02,M,F,tamara6@adventure-works.com,70000.00,3,2,Partial College,Professional,0,0,3791 Rossmor Parkway,NULL,178-555-0152,2013-02-25,0-1 Miles
11088,United States,Hunter,NULL,Davis,1963-05-25,M,M,hunter64@adventure-works.com,80000.00,2,1,Bachelors,Management,1,0,4308 Sand Pointe Lane,NULL,612-555-0141,2013-01-13,2-5 Miles
11089,United States,Abigail,M,Price,1962-08-05,S,F,abigail25@adventure-works.com,80000.00,2,1,Bachelors,Management,1,1,2685 Blackburn Ct,NULL,532-555-0117,2012-12-29,2-5 Miles
11090,United States,Trevor,NULL,Bryant,1968-12-13,S,M,trevor18@adventure-works.com,90000.00,2,0,Partial College,Professional,1,1,5781 Sharon Dr.,NULL,853-555-0174,2011-08-07,2-5 Miles
11091,Canada,Dalton,NULL,Perez,1962-10-02,M,M,dalton37@adventure-works.com,90000.00,2,0,Partial College,Professional,1,1,6083 San Jose,NULL,559-555-0115,2013-01-29,5-10 Miles
11092,Australia,Cheryl,A,Diaz,1972-11-02,M,F,cheryl4@adventure-works.com,90000.00,2,2,Bachelors,Professional,1,0,7297 Kaywood Drive,NULL,1 (11) 500 555-0192,2011-04-08,1-2 Miles
11093,Australia,Aimee,A,He,1978-09-06,M,F,aimee13@adventure-works.com,100000.00,0,0,Graduate Degree,Management,1,0,1833 Olympic Drive,NULL,1 (11) 500 555-0161,2011-04-07,0-1 Miles
11094,Australia,Cedric,W,Ma,1967-09-29,S,M,cedric15@adventure-works.com,70000.00,1,0,Partial College,Skilled Manual,0,1,3407 Oak Brook Place,NULL,1 (11) 500 555-0115,2013-04-07,0-1 Miles
11095,Australia,Chad,NULL,Kumar,1968-02-29,S,M,chad9@adventure-works.com,70000.00,1,0,Partial College,Skilled Manual,1,1,1681 Lighthouse Way,NULL,1 (11) 500 555-0151,2011-04-01,5-10 Miles
11096,Australia,Andrés,NULL,Anand,1968-02-07,M,M,andrés18@adventure-works.com,60000.00,1,0,Bachelors,Professional,1,1,5423 Los Gatos Ct.,NULL,1 (11) 500 555-0184,2011-04-11,5-10 Miles
11097,Australia,Edwin,R,Nara,1972-10-23,M,M,edwin39@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,1,1,719 William Way,NULL,1 (11) 500 555-0112,2011-04-04,5-10 Miles
11098,Australia,Mallory,S,Rubio,1966-10-29,S,F,mallory7@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,0,1,6452 Harris Circle,NULL,1 (11) 500 555-0157,2013-02-11,0-1 Miles
11099,Australia,Adam,NULL,Ross,1966-09-05,M,M,adam2@adventure-works.com,60000.00,1,0,Bachelors,Professional,1,1,4378 Westminster Place,NULL,1 (11) 500 555-0186,2011-04-07,0-1 Miles
11100,Australia,Latasha,L,Navarro,1966-03-15,S,F,latasha10@adventure-works.com,60000.00,1,0,Partial College,Skilled Manual,1,1,6954 Ranch Road,NULL,1 (11) 500 555-0123,2011-04-16,5-10 Miles
11101,Australia,Abby,L,Sai,1970-11-05,S,F,abby4@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,7074 N. Spoonwood Court,NULL,1 (11) 500 555-0174,2011-04-29,0-1 Miles
11102,Australia,Julia,L,Nelson,1970-10-19,S,F,julia7@adventure-works.com,80000.00,5,5,Bachelors,Professional,1,4,2196 Coat Ct.,NULL,1 (11) 500 555-0124,2013-07-16,1-2 Miles
11103,Australia,Cassie,NULL,Chande,1981-04-12,S,F,cassie13@adventure-works.com,70000.00,0,0,Bachelors,Professional,1,1,9448 San Marino Ct.,NULL,1 (11) 500 555-0166,2011-04-15,5-10 Miles
11104,Australia,Edgar,A,Sara,1975-03-08,M,M,edgar11@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,6127 Lilly Lane,NULL,1 (11) 500 555-0125,2011-05-04,0-1 Miles
11105,Australia,Candace,NULL,Fernandez,1970-06-27,S,F,candace15@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,5029 Blue Ridge,NULL,1 (11) 500 555-0162,2011-05-14,5-10 Miles
11106,Australia,Jessie,NULL,Liu,1970-03-11,S,M,jessie9@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,1,3063 Blue Jay Drive,NULL,1 (11) 500 555-0163,2011-05-18,5-10 Miles
11107,Australia,Bianca,NULL,Lin,1976-03-04,M,F,bianca7@adventure-works.com,90000.00,1,0,Bachelors,Professional,1,1,7530 Eola,NULL,1 (11) 500 555-0121,2011-05-01,5-10 Miles
11108,Australia,Kari,C,Alvarez,1969-01-10,S,F,kari25@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,2,9178 Thornhill Place,NULL,1 (11) 500 555-0169,2011-05-03,0-1 Miles
11109,Australia,Ruben,D,Kapoor,1980-04-30,S,M,ruben1@adventure-works.com,70000.00,0,0,Bachelors,Professional,0,2,1984 Glendale Circle,NULL,1 (11) 500 555-0132,2011-05-10,0-1 Miles
